"id","nome","descricao","preco","preco_custo","estoque","imagem","categoria","variantes","semDevolucao","deleted","updated_at"
"378","CARREGADOR TURBO","","50.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/64a105c37051ad9.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"220","CARRINHO DE CONTROLE REMOTO - SEM DEVOLUCAO","","120.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/e376a5d8e8f4520.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.577+00"
"694","CARTILAGEM 18 ERVAS (PRETO)","","25.0","NULL","0","","COSMETICOS","{}","False","False",""
"284","CARTILAGEM DE TUBARAO","","15.0","NULL","25","https://thsmdistribuidora.minharota.net/controller/fotos/3cb72a9bca4caeb.webp","COSMETICOS","{}","False","False",""
"280","CASTANHA DA INDIA","","20.0","NULL","42","https://thsmdistribuidora.minharota.net/controller/fotos/b504eff3d78fe83.webp","COSMETICOS","{}","False","False",""
"631","CENTRO DE MESA WOLFF","Encomenda!!Encomendas devem ser feitas até o 3o dia do mês do seu acerto!!","150.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/0e45d0afd9514d7.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"551","CESTO DE ROUPA","Encomenda!! Deve ser feita até o 3o dia do mes","120.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/c2a7430c12c6991.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"343","CHALEIRA ELETRICA INOX","","165.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/6ef468b0fd2f06b.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"534","CHALEIRA TERMICA MALI","Encomenda!! Deve ser feita até o 3o dia do mes","199.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/657366291472611.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"657","CHAPA MULTIUSO","ENCOMENDA!!ENCOMENDAS DEVEM SER FEITAS ATÉ O TERCEIRO DIA DO MÊS!!","250.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/691c08a2d70ab1f.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"358","CHAPINHA","","125.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/271b7aa8ca551c1.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"671","CHAPINHA ALISADORA AGRATTO PIASTRA PRANCHA","","199.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/5e2f6ad6ffab1ce.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"248","CHAPINHA - SEM DEVOLUCAO","Conferir a marca disponível","299.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/28b03fba54e0c3b.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"495","CHURRASQUEIRA ELETRICA","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","399.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/ead62d386242753.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"601","CLIMATIZADOR 14L ITATIAIA","Encomenda!! Deve ser feita até o 3o dia do mesNecessário entrada 40%","999.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/dc819a124d4d0c6.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"600","CLIMATIZADOR 20L","Encomenda!! Deve ser feita até o 3o dia do mes","999.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/8fd682ef059b5c2.webp","ELETRODOMESTICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"689","COBERDOM INFANTIL ESTAMPADO","","0.00","88.00","150","https://thsmdistribuidora.minharota.net/controller/fotos/a1d0b4f81a6b444.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"688","COBERDOM SHERPA COLORIDA","","0.00","105.00","150","","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"402","COBERDOM SOLTEIRO","","0.00","85.00","150","https://thsmdistribuidora.minharota.net/controller/fotos/c97db7309f9af8d.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"221","COBERDROM CASAL","Consultar as cores disponíveis","0.00","95.00","150","https://thsmdistribuidora.minharota.net/controller/fotos/c5f8fbe0560dfdc.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.577+00"
"680","COBERDROM LUNAX","","0.00","95.00","150","","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"305","COBRE LEITO CASAL PADRAO","","250.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/b9bd7b1514b38e0.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"306","COBRE LEITO CASAL QUEEN","","275.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/324ab49db3af53a.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"174","COBRE LEITO INFANTIL - SEM DEVOLUCAO","","199.0","NULL","3","https://thsmdistribuidora.minharota.net/controller/fotos/1f03c2690455a02.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.577+00"
"307","COBRE LEITO KING","","299.0","NULL","4","https://thsmdistribuidora.minharota.net/controller/fotos/f6a297aa3c2ba28.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"677","COBRE LEITO SOLTEIRO COR LISA","","199.0","NULL","3","","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"409","COBREDOM GIGANTE 2,2 X 2,4","","399.0","NULL","60","https://thsmdistribuidora.minharota.net/controller/fotos/2a4fffdbb5ee424.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"221","COBREDOM - SEM DEVOLUCAO","Consultar as cores disponíveis","399.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/c5f8fbe0560dfdc.webp","CAMA MESA E BANHO","{}","False","False",""
"400","COLCHA ARTESANAL CASAL","Amarela Vermelha Verde Azul clara Azul escura Consulte cores disponíveis!!","199.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/eac298a95a9d9ee.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"569","COLCHA CHENILLE","Encomenda!! Deve ser feita até o 3o dia do mes","260.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/23180bcdb808cbb.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"640","COLCHA DE CASAL FLAMENGO","","299.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/c12d3882bd4e357.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"617","COLCHA FLANNEL CANELADA","Encomenda Encomendas devem ser feitas até o 3 dia do mês do seu acerto!!","360.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/0d49d06cfb926f4.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
